,architecture,num_epochs,num_processes,threads,is_distributed,training_time,accuracy,avg_loss,batch_size
119,conv,2,2,15,y,31.74646759033203,74.65,1.6843714938322703,64
120,conv,2,4,14,y,52.64237976074219,85.40666666666667,0.5288260437071324,32
121,conv,2,3,4,y,10.24374270439148,43.685,2.237052360979716,256
122,conv,2,3,7,y,36.21889328956604,84.955,0.5564116447408994,32
123,conv,2,2,4,y,14.142899751663208,30.78,2.245634727859497,256
124,conv,2,3,4,y,13.558319330215454,84.88666666666667,0.563948626412948,32
125,conv,2,3,8,y,55.902708768844604,85.41,0.543082277015845,32
126,conv,2,3,5,y,11.583905458450317,67.04166666666667,1.8214287312189739,64
127,conv,2,3,7,y,108.03425908088684,91.99666666666667,0.2710028965175152,12
128,conv,2,3,13,y,99.96312284469604,90.57833333333333,0.3145830882159372,12
129,conv,2,4,10,y,30.10852837562561,77.40833333333333,1.0151557263771693,32
130,conv,2,4,5,y,8.782772541046143,45.86666666666667,2.183569830576579,128
131,conv,2,3,9,y,11.950318098068237,45.665,2.1983498898188274,128
132,conv,2,4,14,y,30.0535671710968,72.425,1.4589054393291474,64
133,conv,2,4,12,y,22.955247402191162,70.455,1.6100631501356761,64
134,conv,2,3,16,y,30.71456742286682,46.218333333333334,2.1987511339187624,128
135,conv,2,3,8,y,22.349269151687622,63.0,2.042109907023112,64
136,conv,2,2,7,y,12.649503231048584,28.19,2.2665307293891908,256
137,conv,2,4,12,y,44.04880928993225,86.075,0.4934537208557129,32
138,conv,2,2,16,y,22.994285583496094,17.283333333333335,2.280687265618642,256
139,conv,2,3,3,y,13.135390520095825,85.87333333333333,0.4993473677744468,32
140,conv,2,3,16,y,48.78195095062256,64.325,1.9965878180503844,64
141,conv,2,4,8,y,313.01185846328735,91.055,0.3068182240026693,12
142,conv,2,3,8,y,167.9964635372162,91.48833333333333,0.2924905034991602,12
143,conv,2,2,5,y,15.143150568008423,67.89666666666666,1.9539390659014384,64
144,conv,2,2,8,y,13.755050420761108,35.93833333333333,2.2671124009132386,128
145,conv,2,3,3,y,11.593677043914795,36.528333333333336,2.256522821744283,128
146,conv,2,4,14,y,23.201270580291748,43.83,2.253016247145335,128
147,conv,2,3,3,y,10.639241695404053,11.921666666666667,2.2867061018308004,256
148,conv,2,4,3,y,9.681991815567017,77.59166666666667,1.0244418108622233,64
149,conv,2,2,15,y,19.164042949676514,40.458333333333336,2.255716169198354,128
150,conv,2,2,5,y,13.116257190704346,31.92,2.2640806396802264,256
151,conv,2,4,15,y,67.38361287117004,85.05833333333334,0.5371577412466209,32
152,conv,2,2,11,y,38.01879954338074,84.85666666666667,0.5470944092233976,32
153,conv,2,4,9,y,18.169626474380493,72.10333333333334,1.7682111156781515,64
154,conv,2,4,10,y,18.454211711883545,57.848333333333336,2.078173823483785,64
155,conv,2,4,9,y,9.387221336364746,17.808333333333334,2.274912969112396,256
156,conv,2,4,7,y,13.77964735031128,35.05166666666667,2.275779576555888,128
157,conv,2,3,6,y,12.131585121154785,63.18833333333333,2.0981577499389648,64
158,conv,2,2,11,y,16.98374891281128,27.821666666666665,2.2536990001360575,128
159,conv,2,2,7,y,13.617887496948242,37.72666666666667,2.236708635584513,128
160,conv,2,4,10,y,16.17330527305603,48.14333333333333,2.2360404741923015,128
161,conv,2,2,2,y,16.292887687683105,48.818333333333335,2.1843485713005064,128
162,conv,2,2,12,y,23.473209619522095,53.39833333333333,2.056525456237793,64
163,conv,2,4,12,y,15.591343879699707,33.37833333333333,2.220928225549062,128
164,conv,2,2,6,y,14.091094017028809,34.635,2.2628883474349974,128
165,conv,2,2,14,y,27.436516523361206,74.47,1.427859111626943,64
166,conv,2,3,7,y,10.055241107940674,13.718333333333334,2.293381269041697,256
167,conv,2,4,15,y,37.29067373275757,69.56666666666666,1.7182055123170217,64
168,conv,2,2,14,y,19.90540647506714,48.1,2.184007092221578,128
169,conv,2,4,3,y,11.254268169403076,86.47833333333334,0.49197572834293046,32
170,conv,2,4,4,y,8.448673248291016,27.79,2.269876151752472,256
171,conv,2,4,14,y,23.157764434814453,50.605,2.195442458852132,128
172,conv,2,4,4,y,11.378856658935547,78.925,0.9168841154654821,32
173,conv,2,4,6,y,106.45630407333374,89.84,0.3364974198043346,12
174,conv,2,4,5,y,10.243687629699707,70.36833333333334,1.6938915257136027,64
175,conv,2,4,2,y,9.136139869689941,34.73166666666667,2.268926591650645,256
176,conv,2,3,12,y,11.307841062545776,35.388333333333335,2.2399987426757813,256
177,conv,2,4,5,y,8.831684112548828,45.455,2.223754206085205,128
178,conv,2,4,8,y,314.13752579689026,91.28833333333333,0.3003294000785798,12
179,conv,2,4,4,y,8.619526624679565,53.656666666666666,2.226828257497152,128
180,conv,2,3,9,y,18.244831323623657,67.825,1.9130683809916178,64
181,conv,2,3,5,y,10.441287994384766,58.07833333333333,2.222709131558736,128
182,conv,2,4,8,y,108.40476584434509,83.95833333333333,0.5688762808859348,32
183,conv,2,3,6,y,22.056308269500732,87.03,0.45846373731791973,32
184,conv,2,3,15,y,149.62501764297485,89.61166666666666,0.3431891232103109,12
185,conv,2,2,16,y,40.44200873374939,61.916666666666664,2.0804267100334166,64
186,conv,2,2,5,y,13.916987895965576,17.993333333333332,2.280581391334534,128
187,conv,2,2,2,y,17.40779447555542,13.563333333333333,2.2827171106974284,256
188,conv,2,3,7,y,11.161680221557617,27.936666666666667,2.2647722920099893,128
189,conv,2,3,12,y,41.95866298675537,86.305,0.4891624913821618,32
190,conv,2,4,7,y,9.969563484191895,22.661666666666665,2.259648191992442,256
191,conv,2,2,3,y,15.339358806610107,67.36333333333333,1.842385825665792,64
192,conv,2,4,2,y,9.922106742858887,28.15,2.2471900781313576,256
193,conv,2,4,16,y,25.086822032928467,19.378333333333334,2.2879449657440185,256
194,conv,2,4,10,y,64.57832551002502,91.47166666666666,0.29264382554988067,12
195,conv,2,4,8,y,107.6745171546936,87.39,0.44234725653231144,32
196,conv,2,2,13,y,24.135276079177856,44.37166666666667,2.2317786890347797,64
197,conv,2,3,2,y,13.727957248687744,86.16166666666666,0.4925159330745538,32
198,conv,2,3,14,y,47.273688554763794,86.61,0.4873059737334649,32
199,conv,2,2,11,y,23.603235006332397,74.67333333333333,1.1399436942021053,64
200,conv,2,2,2,y,19.76360058784485,86.50166666666667,0.47516300140519935,32
201,conv,2,4,6,y,15.298713207244873,65.91,1.923120500977834,64
202,conv,2,3,11,y,32.96178889274597,81.51166666666667,0.7281098638017972,32
203,conv,2,2,13,y,46.08976459503174,82.50666666666666,0.6820290125250816,32
204,conv,2,3,7,y,107.444162607193,90.10166666666667,0.32649108814472955,12
205,conv,2,2,12,y,23.990445852279663,74.15666666666667,1.5273001357078553,64
206,conv,2,4,6,y,37.8468132019043,85.54,0.518408466331164,32
207,conv,2,4,12,y,102.43817615509033,90.60166666666667,0.31314892304788033,12
208,conv,2,4,5,y,19.4266357421875,84.39166666666667,0.5854949205676715,32
209,conv,2,2,6,y,12.910138368606567,27.866666666666667,2.259714927736918,256
210,conv,2,4,15,y,37.18322491645813,42.696666666666665,2.2583857443173727,64
211,conv,2,3,7,y,13.978546380996704,69.57333333333334,1.7719240432421366,64
212,conv,2,2,5,y,18.668415546417236,77.575,1.3576914528052013,32
213,conv,2,2,2,y,16.322543382644653,58.96666666666667,2.122863885656993,128
214,conv,2,3,2,y,12.636980772018433,74.07,1.2913555341879526,64
215,conv,2,3,13,y,100.39374995231628,90.23833333333333,0.32764143139670293,12
216,conv,2,3,11,y,70.91584467887878,90.53833333333333,0.3192878026157618,12
217,conv,2,3,6,y,12.28909707069397,73.26333333333334,1.3820804563363394,64
218,conv,2,2,6,y,20.369911193847656,84.58666666666667,0.5769421899497509,32
219,conv,2,3,10,y,30.53424572944641,86.29166666666667,0.5045120660026868,32
220,conv,2,4,7,y,63.6570770740509,83.12,0.6407754403591156,32
221,conv,2,4,10,y,30.35916757583618,76.22,1.083684055328369,32
222,conv,2,3,10,y,64.82077741622925,91.41166666666666,0.2943429977815598,12
223,conv,2,2,14,y,18.56366777420044,42.47,2.2484516016642253,128
224,conv,2,3,6,y,9.53901743888855,28.208333333333332,2.2514713975906373,256
225,conv,2,4,3,y,9.454689025878906,26.473333333333333,2.261969157632192,128
226,conv,2,2,7,y,24.850265979766846,83.03833333333333,0.6586160614768664,32
227,conv,2,4,12,y,10.795477628707886,32.16833333333334,2.278466827170054,256
228,conv,2,2,2,y,18.6298930644989,81.405,0.7362308807293574,32
229,conv,2,3,3,y,19.770304203033447,90.775,0.3122377925720687,12
230,conv,2,3,15,y,32.992804527282715,44.67666666666667,2.2118672958691916,64
231,conv,2,2,8,y,16.728137969970703,50.45166666666667,2.2195488934199017,64
232,conv,2,2,6,y,15.634433269500732,76.11,1.4203080965360007,64
233,conv,2,3,11,y,15.77920413017273,41.36666666666667,2.219121701526642,128
234,conv,2,4,12,y,103.14553380012512,91.32666666666667,0.29441440919302403,12
235,conv,2,2,11,y,38.06383800506592,81.15,0.7685109420537949,32
236,conv,2,4,16,y,33.6314218044281,42.00666666666667,2.2433678586959838,128
237,conv,2,3,8,y,11.121033668518066,20.993333333333332,2.2864964681307476,256
